Date,Efficiency,BlockSpeed,BTC,USD,HashRate,BTCPrice,ElectricityPrice
2022-09-03,41.10783720300068,9.79591836734694,918.75,18216625.875,2.2636200651548895e+20,19827.62,4.68
2022-09-04,40.69008318123565,8.571428571428571,1050.0,20791837.5,2.5869943601770168e+20,19801.75,4.68
2022-09-05,40.69008318123565,9.411764705882351,956.25,18912148.3125,2.3560127208754977e+20,19777.41,4.68
2022-09-06,40.69008318123565,10.140845070422536,887.5,17580416.5,2.1866261853877168e+20,19808.92,4.68
2022-09-07,40.69008318123565,9.863013698630136,912.5,17183488.25,2.2482212892014556e+20,18831.22,4.68
2022-09-08,40.69008318123565,11.338582677165354,793.75,15298737.5,1.9556445460861977e+20,19274.0,4.68
2022-09-09,40.69008318123565,9.79591836734694,918.75,19280832.375,2.2636200651548895e+20,20985.94,4.68
2022-09-10,40.69008318123565,9.171974522292992,981.25,20946429.75,2.4176078246892365e+20,21346.68,4.68
2022-09-11,40.69008318123565,7.868852459016393,1143.75,24715785.5625,2.817975999478537e+20,21609.43,4.68
2022-09-12,40.69008318123565,9.411764705882351,956.25,21261348.5625,2.3560127208754977e+20,22234.09,4.68
2022-09-13,40.69008318123565,10.510948905109489,856.25,19016499.0625,2.1096323056205437e+20,22209.05,4.68
2022-09-14,40.69008318123565,11.338582677165354,793.75,16090646.0,2.023088999749455e+20,20271.68,4.68
2022-09-15,40.69008318123565,9.79591836734694,918.75,18448996.125,2.3416856926233857e+20,20080.54,4.68
2022-09-16,40.69008318123565,11.25,800.0,15796128.0,2.039018834393152e+20,19745.16,4.68
2022-09-17,40.69008318123565,8.470588235294118,1062.5,21178589.375,2.708071889428405e+20,19932.79,4.68
2022-09-18,40.69008318123565,9.35064935064935,962.5,19183067.75,2.4531945351292607e+20,19930.46,4.68
2022-09-19,40.69008318123565,11.076923076923077,812.5,15439181.875,2.070878503680545e+20,19002.07,4.68
2022-09-20,40.69008318123565,9.473684210526317,950.0,18274589.5,2.421334865841868e+20,19236.41,4.68
2022-09-21,40.69008318123565,10.212765957446807,881.25,16747927.125000002,2.2461066847612063e+20,19004.74,4.68
2022-09-22,40.69008318123565,11.25,800.0,15209079.999999998,2.039018834393152e+20,19011.35,4.68
2022-09-23,40.69008318123565,10.666666666666666,843.75,16082178.75,2.1505276768990275e+20,19060.36,4.68
2022-09-24,40.33928429031879,9.863013698630136,912.5,17427171.375,2.3257558579796892e+20,19098.27,4.68
2022-09-25,40.33928429031879,9.79591836734694,918.75,17455910.0625,2.3416856926233857e+20,18999.63,4.68
2022-09-26,39.4889147830884,9.6,937.5,17889468.75,2.3894751965544753e+20,19082.1,4.68
2022-09-27,39.4889147830884,11.16279069767442,806.25,16161386.0625,2.0549486690368484e+20,20045.13,4.68
2022-09-28,38.96422303221721,9.6,937.5,17921925.0,2.3384119581300297e+20,19116.72,4.68
